#RName	Run5
#StaD	20220928
#EndD	20220929
#StaU	1664344368
#EndU	1664425036
#Names	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
#Thres	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
7	-1	-1	-1	-1	-1	-1	70	70	70	70	70	70	70	70	70	70
13	80	80	80	80	80	90	80	80	80	80	80	80	80	80	80	80
15	80	80	80	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#Volta	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
7	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	30	30	30
13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
15	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#DPhi	171
#DThe	75
#LastLine
