#RName	Run7
#StaD	20221003
#EndD	20221012
#StaU	1664787520
#EndU	1665563348
#Names	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
#Thres	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
7	-1	-1	-1	-1	-1	-1	70	70	70	70	70	70	70	70	-1	-1
8	70	70	70	70	70	70	70	70	-1	-1	-1	-1	-1	-1	-1	-1
13	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
15	70	70	70	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#Volta	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8
7	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8
8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00
13	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8
15	30.8	30.8	30.8	30.8	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00
#DPhi	171
#DThe	75
#LastLine
